winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
60,71,74,87,93
11,12,30,38,51
13,63,66,80,89
8,22,33,90,97
7,11,47,93,102
7,15,77,98,101
17,85,87,91,99
2,9,85,86,89
12,26,33,38,74
8,11,31,69,99
21,62,77,81,91
22,33,64,77,101
27,35,39,71,85
34,51,54,66,86
9,16,25,55,79
21,48,60,66,88
31,34,42,47,51
18,54,94,103,110
8,13,27,28,68
14,15,21,85,92
2,6,15,92,101
21,36,41,81,86
7,25,27,70,104
14,26,40,63,99
5,20,74,86,110
10,20,21,28,50
3,50,52,61,72
3,53,58,74,93
26,32,44,83,86
5,43,63,69,73
7,8,21,85,102
13,37,40,46,92
30,40,60,88,106
27,29,33,47,89
7,17,38,48,86
13,51,80,86,92
18,60,76,87,97
7,28,51,74,87
1,26,55,71,98
4,20,42,84,98
7,11,38,79,93
5,70,95,104,107
15,31,43,77,83
17,19,45,90,91
7,18,55,73,87
13,30,54,55,107
13,18,25,27,60
5,40,73,74,99
9,20,47,68,76
20,38,52,53,64
8,30,39,51,96
11,31,54,78,101
26,35,50,71,93
6,20,49,51,92
29,60,63,106,110
22,40,51,56,73
9,26,29,68,106
20,28,54,58,74
7,15,20,36,43
16,49,71,86,93
5,11,62,83,93
20,22,38,66,87
7,35,36,68,81
31,41,73,101,109
7,20,43,51,75
39,59,71,86,101
9,29,46,47,50
20,35,54,55,107
20,25,81,91,110
4,34,38,52,86
5,11,28,29,100
22,27,29,67,85
2,30,71,72,80
54,55,74,86,88
20,39,57,60,72
30,46,47,72,85
6,20,68,96,103
7,25,48,51,91
10,20,51,87,95
7,17,25,46,71
9,27,69,74,96
3,47,55,58,89
3,12,87,88,97
29,45,66,80,98
41,64,82,89,101
25,30,35,60,71
17,25,54,66,73
31,42,48,74,92
9,11,13,50,96
40,48,74,85,87
13,16,77,78,86
30,51,75,93,106
2,22,26,67,97
7,12,75,106,112
26,39,42,50,80
9,29,74,92,101
10,13,26,58,69
49,51,89,92,95
8,26,46,65,89
13,16,68,69,77
7,41,50,55,74
6,41,47,64,79
10,23,88,92,103
39,58,61,72,86
8,30,34,38,57
46,61,64,84,93
6,11,13,20,87
6,17,28,85,101
25,26,50,99,106
47,54,58,62,73
41,50,60,98,109
1,21,26,51,112
6,29,43,86,92
31,33,69,88,89
46,54,72,89,92
49,66,69,79,96
7,21,31,69,93
5,16,54,89,97
42,74,77,79,80
17,22,57,86,95
13,36,86,92,106
8,18,20,22,101
1,9,30,41,68
7,11,51,67,101
17,54,68,74,79
20,67,68,78,96
7,17,30,48,63
11,65,72,85,86
18,29,64,74,86
5,29,42,74,99
5,16,45,48,85
3,7,10,39,64
14,21,22,54,84
9,69,73,74,86
25,47,65,69,79
27,31,47,74,82
17,26,54,69,86
4,8,27,96,101
39,45,62,66,86
46,55,72,86,87
13,69,86,93,103
9,17,48,92,96
1,20,64,78,84
7,29,30,36,67
20,38,48,74,84
33,50,51,54,99
20,42,51,88,89
9,16,27,69,78
5,17,50,69,106
32,44,64,74,84
7,11,20,55,72
31,65,84,93,106
18,26,47,84,99
47,60,80,88,92
9,29,31,49,79
12,55,60,64,90
17,47,53,58,73
7,46,96,99,101
13,33,49,69,79
17,31,56,73,99
1,20,69,74,101
53,79,86,88,89
53,72,79,86,97
2,31,36,44,60
7,44,68,74,106
2,5,69,74,93
34,51,63,84,87
7,46,55,75,101
11,16,94,99,112
14,70,90,104,106
43,53,63,86,92
5,17,53,86,94
5,14,29,70,76
11,45,48,59,68
8,20,43,84,96
55,62,72,85,106
11,20,57,69,86
2,13,50,54,83
13,16,20,55,63
22,30,35,65,99
9,20,48,69,83
27,46,64,77,78
17,48,51,86,92
51,63,74,92,102
2,7,10,13,87
22,28,31,67,86
13,15,42,65,75
6,26,71,74,92
55,65,72,85,89
27,43,49,58,88
7,29,46,101,106
19,34,55,79,91
5,7,43,48,51
27,32,43,51,84
3,17,58,74,96
9,86,88,89,98
14,75,76,86,88
30,33,61,72,78
5,13,77,87,96
4,22,45,51,112
38,72,81,88,91
8,17,26,98,103
8,46,57,97,107
31,86,96,97,106
6,20,38,49,50
42,55,57,74,107
1,11,26,50,51
16,49,54,73,101
13,15,42,91,101
3,15,19,25,112
9,17,26,68,88
20,27,47,69,106
47,54,57,69,84
11,13,72,86,92
9,12,65,68,107
6,7,39,40,99
9,15,29,44,79
11,26,42,96,99
66,86,89,93,96
5,7,17,35,99
29,46,47,84,85
46,48,79,86,96
47,85,86,106,110
9,41,42,51,97
10,16,30,64,78
8,16,30,41,47
7,67,73,96,101
15,17,69,92,102
2,47,65,86,110
14,32,41,44,112
9,55,57,72,104
3,9,62,81,91
9,16,54,68,74
30,42,49,51,83
16,30,35,41,55
